Filename,Page No.,यादी भाग क्रमांक (Yadi Bhag No.),यादी भागाच्या हद्दीचा तपशील (Content)
049-B.N.M.P._Ward.pdf,1,0049,"जु भागाच्या SEPA तपशील | बंगाळपुरा, राबीया मजीद रोड सोनी मंजिल अपार्टम्‌, राबीया | द रोड आप्सा मंजील अपार्ट, समदशेठ बगीचा राबीया मजीद जवळ,, पंजाबी बिल्डींगच्या मागे सजा | ते 72, धोबी आळी क्रं.73 ते 216, माजी नगर सेवक सुभाण सिकंदर अन्सारी, वाजे मोहल्ला | सजा | पूर मस्जीद समोर, हरिजनवाडी न पा वसाहत क्र310से456, हरिजन वाडीच्या समोरील भाग . भिवंडी | 57से, SAR यांच्या दवाखान्या जवळ, समदिया बिल्डींगचा परिसर मस्जीद मागे, पंजाबी मडळ भिवंडी | डींग समोर समदिया, मारूती मंदिर समोर हाफसनआळी बिहिर  मूळ गांव/शहर | "
050-B.N.M.P._Ward.pdf,1,0050,"डड. भागाच्या SEPA तपशील | मारूती मंदिर समोर हाफसनआळी बिहिर, माजी नगर सेवक | बाल नाझिर यांचा, लालासेठ बिल्डींग पासुन ते हाफसन आश्रम्‌, कृष्णा ऑटो पार्टसच्या समोर | बरे फ, कामतलाव, जेतुनपुरा छोटा पॉवर हाऊस समोर, बरकत हॉटेल समोरिल भाग, रब्बानी | न जवळ व पाठीमागे क्रं.319, चिंबीशहा दर्गा से नगरसेवक शमिम यांच्‌, जैतुनपुनपुरा | तलाव, जैतुन पुरा रेशनिग दुकान समोर कत्र, हवाई बिल्डींग जवळ व समोरील भाग, ताझीया | ॥ चाली जवळ व सरकारी, चाचा शेठच्या बिल्डींग पासुन हवाई बिल्ड, नगर सेवक मौलाना | जदरजा यांच्या, चिंदीशहा दर्गा शेजारी माजीनगर सेवक, चिंदीशहा दर्गा पासुन ते पेरूशेठ घराजू, | जु हॉटेल मागे युसुफ चष्मेंबाला, युसुफ चष्मेवाला घरा पासुन ते tet | मूळ गांव/शहर भिवंडी | सजा भिवंडी | मंडळ भिवंडी |  "
051-B.N.M.P._Ward.pdf,1,0051,"टी. भागाच्या हद्दीचा तपशील जैतुनपुनपुरा कापतलाव, युसुफ | मेवाला घरा पासुन ते मोहर्म, मंगल बाजार स्लॅब जेतुनपुरा गुलशन, | तफ सरदार धवलाची वरची साईट, भोपाळी दवाखानाच्या मागील | ग, अशरफिया मदसाच्या बाजुला, अशरफिया मदरसाच्या मागे | मूळ गांव/शहर | मंडळ भिवंडी |  "
052-B.N.M.P._Ward.pdf,1,0052,"we ee भागाच्या हद्दीचा तपशील भोपाळी दवाखानाच्या मागील भाग, | RPA मदरसाच्या मागे, कापललाव जैतुन पुरा बावडीजवळ, | पतलाव जैतुन पुरा बावडीजवळ, अब्बास चाळ, इमाम अलीच्या | [ पासुन, St युसुफ च्या बाजुची गल्ली | मूळ गांव/शहर | मंडळ भिवंडी |   "
053-B.N.M.P._Ward.pdf,1,0053,"न. भागाच्या हद्दीचा तपशील काप तलाब जैतुनपुरा, सिरीझन | R परिसर कापतलाब, खान किराणा स्टोडर्स कापतलाब, रईस | दार गल्ली काप तलाब | मूळ गांव/शहर | मंडळ भिवंडी |   "
054-B.N.M.P._Ward_No..pdf,1,0054,"ची भागाच्या SEPA तपशील | न्यू लिबर्टी हॉटेलच्या मागे aq कंपा., न्यू लिबर्टी हॉटेलच्या मागे | कपाऊ., एसीपी ऑफिसच्या मागे आग्रारोड, एसीपी ऑफिसच्या बाजुची झोपडपटटी, न्यू युनुस | रामेश्वर मंदिराच्या, न्यू युनुस नगर रामेशवर मंदिराच्या ब, रामेशवर मंदिर आरजु पावर लॉन्ड्री | नुरी मजिद च्या समोरच्या गल्ली मध्ये | मूळ गांव/शहर | मंडळ भिवंडी |   "
055-B.N.M.P._Ward_No..pdf,1,0055,"जज भागाच्या SEPA तपशील | न्यू लिबर्टी हॉटेलच्या मागे चुनु कंपा., नुरी मजिद च्या समोरच्या | ती मध्ये, समीउल्ला चाळ जनता हॉटेल, जनता समोर शिवशक्ती किराणा स्टोर्स, सुखसागर सजा | पीटल मागे, ल॑गडशठे ची चाळ सुखसागर हॉस्पीटल, जनता हॉटेल मागे मोतीशेठ बिल्डींग, मोती | सजा | ची बिल्डींग जनता हॉटेल, शंकर मंदिराच्या मागे दत्तु शेठ चाळ, शंकर मंदिराच्या मागे सुंदर बेनी | भिवंडी | पार्यल बिल्डींग व बिल्डीगच्या बाजुचा, हनुमान मंदिराच्या मागे बाबडी समोर, शंकर मंदिराच्या | गॅडळ भिवंडी | ल शिवम इले., सुंदरबेनी पेट्रोल पंपाच्या मागे, सुंदरबेनी पेट्रोल पंपाच्या बाजुल आग  मूळ गांव/शहर |  "
056-B.N.M.P._Ward_No..pdf,1,0056,"न. भागाच्या हद्दीचा तपशील आजाद मैदानच्या मागे भोपाली डॉ. | , आजाद मैदानच्या मागे भोपाळी डॉक्टरच्यू, पार्वती बिल्डींग च्या | T लालु पडोओ चू, पार्वती बिल्डींग च्या मागे तळावाच्या बाज | मूळ गांव/शहर | मंडळ भिवंडी |  "
057-B.N.M.P._Ward_No..pdf,1,0057,"क भागाच्या SEPA तपशील | शाह आलम हायस्कूल फातमा मंजील, शाळाळय हायस्कूल | मा मंजील बॉम्बे, हनुमान बावडीचा बाजुचा परिसर, बॉम्बे मॅकडेय बॅकच्या मागील झोपडपट, | रिकन वॉच बिल्डींग इमाम अह.रजा.रो, अमेरिकन वॉच बिल्डींग ईमाम अहमद रजा, सुलेमान | डींगचे बाजुला व सुळेमान | मूळ गांव/शहर | मंडळ भिवंडी |  "
058-B.N.M.P._Ward_No..pdf,1,0058,"7 भागाच्या हद्दीचा तपशील | अमेरिकन वॉच बिल्डींग इमाम अह.रजा.रो, कोटरगेट मस्जीद | , लाला शॉपिंगच्या मागील भाग तीनबत्ती, लाला शॉपीग मागील भाग तीनबत्ती, बाळाजी | रातील आनील परिसर, शिनलादेवी मंदिरा रचा बिल्डींग बॉम्बे, इस्लामी हॉटेलच्या मागे तीनबत्ती, | र गेट हवेलीहनुमान बावडी समोर, तेलगल्ली सुलेमान बिल्डींग समोर, कुंवारी बिल्डींग | स्ताना समोर, फोटर गेट मजीद आजाद मैदाना समो., फोटरगेट मजिद आझाद मैदान समारील, | परि कत्रस्तान मागील हल्हिदा, ए सी पी निवासाच्या बाजूला परिसर, इस्लामपुरा मजीद मागे | [द कमेटी, भुवारी बिल्डींगच्या बाजूला रामभवन सन, इस्लामपुरा मजीदच्या बाजुला, | पालिका कार्यालयाच्या डाव्याबाजुला | मूळ गांव/शहर | मंडळ भिवंडी |  "
