Filename,Page No.,Yadi Bhag No.,Boundary Description (Marathi)
036-Kamathipura_7th_Street.pdf,1,0036,"1 अ)आर.एस.निमकर मार्ग 7ते 15 (मनिवि-29) खंड-8, 2ब)कामाठीपुरा गल्ली,3ते49(मनिवि-29) खंड-2, 3क)कामाठीपुरा 13वी गल्ली,92ते108(मनिवि-29) खंड5, सजा 4ड)कामाठीपुरा &वी गल्ली,40शिवाजी ते,46-50ईश्वर बिल्डींग (मनिवि-29)"
037-Kamathipura_7th_Street.pdf,1,0037,"1अ) कामाठीपुरा 3री गल्ली 30ते 72(मनिवि-29)खंड-3, 2ब)परशुराम पुपाला मार्ग,240ते258 (मनिवि 29) खंड 4, 3क)मानाजी राजुजी मार्ग,80ते89 (मनिबि-29) खंड-1, 4 ड)कामाठीपुरा 4थी गल्ली म्यु. घ.नं.2-58(मनिवि29)खंड1, 5 इ)कामाठीपुरा 4थी गल्ली म्यु.घ.नं.1-55(मनिवि29)खंड2, 6 फ़)कामाठीपुरा 9 वी गल्ली म्यु.घ.नं.58-60(मनिवि-29) खंड-3"
038-Maulana_Shaukat_Ali_Road.pdf,1,0038,"1अ)मानाजी राजुजी रोड म्यु.घ.नं.63(मनिवि29)खंड-2, 2ब)शंकरराव पुपाला मार्ग म्यु.घ.नं.90-102 (मनिवि-29)खंड-3, 3क)शंकरराव पुपाला रोड म्यु.घ.नं.126-146(मनिवि-29) खंड-3, 4ड)कामाठीपुरा 2री गल्ली 25-105(मनिवि29) खंड-3"
039-Maulana_Shaukat_Ali_Road.pdf,1,0039,"1अ) कामाठीपुरा 1ली गल्ली,(म.नि.वि.29), खंड 1, 2ब) कामाठीपुरा 2री गल्ली,30-71ए(मनिवि29), खंड 2, 3क) कामाठीपुरा 3री गल्ली,21-69(मनिवि29),खंड 4"
040-Maulana_Shaukat_Ali_Road.pdf,1,0040,"1अ)कामाठीपुरा 2री गल्ली 72-114(मनिवि-29)खंड-3, 2ब)मौलाना आझाद रोड,2-48(मनिवि-29) खंड-1, 3क)परशुराम पुपाला रोड (बाप्टी सजा रोड)म्युनिसिपल ब्लॉक नं.ए ते बी 1(मनिवि-29) खंड-5"
041-Maulana_Shaukat_Ali_Road.pdf,1,0041,"1अ)परशुराम पुपाला मार्ग,(बाप्टी रोड)म्युनिसिपल ब्लॉक नं.सी आणि डी(मनिवि29)खंड6, 2ब)परशुराम पुपाला मार्ग,(बाप्टी रोड)म्युनिसिपल ब्लॉक नं.ड आणि एफ(मनिवि29)खंड7"
042-Maulana_Shaukat_Ali_Road.pdf,1,0042,"अ)मौलाना शौकत अली रोड,म्यु.घ.नं.ए-ई(मनिवि-29)खंड 8, 2 ब)मौलाना शौकत अली रोड,1 ते 34 (मनिवि-29)खंड-10"
043-Maulana_Shaukat_Ali_Road.pdf,1,0043,"1अ)शंकरराव पुपाला मार्ग,25-27बी,(मनिवि29)खंड 4, 2 ब) मौलाना शौकत अलीरोड,एफ भारत लोखंड बा.आणि 182 भारत लोखंड बाजार (मनिबि-29)खंड-9, 3क)परशुराम पुपाला मार्ग,(बाप्टी रोड)म्युनिसिपल ब्लॉक नं.ए.बी.सी.(मनिवि29)खंड-8"
044-Maulana_Shaukat_Ali_Road.pdf,1,0044,"1अ)मानाजी राजुजी मार्ग, 62ते 169 (मनिवि-29) खंड-3, 2 ब)मौलाना शौकत अली मार्ग, 35ते137 व म्यु.घ.न.कब्रस्तान चाळ छोटा सोनापुर Yast (मनिवि 29) खंड"
045-Sophia_Zubair_Road.pdf,1,0045,"1अ).शेफर्ड रोड,म यु.घ.नं.9 ते 21 म.नि.वि.317खंड 1"
