filename,page,content,confidence,original_content
034-Sheth_Motisha_Lane_(Love_Lane).pdf,1,अ) शेठ मोती शाह लेन म्युनिसिपल घर 108 ते 134 | ब) डी. एन. सिंग रोड (हाथीबाग लेन) म्युनिसिपल घर 11 ते 13 बतुला हाउस,91,
035-Sheth_Motisha_Lane_(Love_Lane).pdf,1,अ) शेठ मोतीशाह लेन म्युनिसिपल घर 140 ते 160 | ब) शेठ मोतीशाह लेन म्युनिसिपल घर 114 ते 136 ए | क) डी. एन. सिंह रोड (हाथीबाग लेन) म्युनिसिपल घर 105 आणि जवळची झोपडपट्टी,92,
036-Sheth_Motisha_Lane_(Love_Lane).pdf,1,अ) शेठ मोतीशाह लेन म्युनिसिपल घर 114 ते 134 अ बी. आय. टी. चाळ 3 आणि मागील झोपडपट्टी | ब) डी. एन. सिंग रोड (हाथीबाग लेन) म्युनिसिपल घर 51 ते 55,91,
037-136_Sheth_Motishah_Lane_(Love_Lane).pdf,1,अ) शेठ मोती शाह लेन म्युनिसिपल घर 136 ते 138 | ब) डी. एन. सिंग रोड (हाथीबाग लेन) म्युनिसिपल घर 5 ते 91 डी,90,
038-136_Sheth_Motishah_Lane_(Love_Lane).pdf,1,अ) शेठ मोतीशाह लेन म्युनिसिपल घर 105 जे ते 109 सी मुंबई ट्रान्सपोर्ट चाळ | ब) शेठ मोतीशाह लेन म्युनिसिपल घर 111-112 मेहता चेंबर्स ते म्युनिसिपल घर 189 सिद्धचल दर्शन बी,93,
039-136_Sheth_Motishah_Lane_(Love_Lane).pdf,1,डी. एन. सिंग रोड (हाथीबाग लेन) म्युनिसिपल घर 1 ते 29 अ,88,
040-105-C_136_Sheth_Motisha_Lane_(Love_Lane).pdf,1,शेठ मोतीशाह लेन म्युनिसिपल घर 5 रोझारीओ पत्रा चाळ 1 ते 103 ब्राम्हणवाडी चाळ आणि रोड वरील हॉटेल,93,
041-105-C_136_Sheth_Motisha_Lane_(Love_Lane).pdf,1,अ) शेठ मोती शहा लेन म्युनिसिपल घर 105 स्वप्ना बिल्डींग ते म्युनिसिपल घर 105 बी ताराबाग चाळ | ब) शेठ मोती शाह लेन म्युनिसिपल घर 6 ते 42 क) शेठ मोती शाह लेन म्युनिसिपल घर 68 ते 92-96,93,
042-Sheth_Motisha_Lane_(Love_Lane).pdf,1,अ) शेठ मोतीशाह लेन म्युनिसिपल घर 98 ते 100 ए आणि 115 | ब) शेठ मोतीशाह लेन (कोपर गांव इस्टेट) | क) डी. एन. सिंग रोड (हाथीबाग लेन बी) म्युनिसिपल घर 29 बी ते 172 | ड) डी. एन. सिंग रोड (हाथीबाग लेन)म्युनिसिपल घर 13 ते 85 ए आणि 2 ते 56,91,
043-Sheth_Motisha_Lane_(Love_Lane).pdf,1,अ) शेठ मोतीशाह लेन म्युनिसिपल घर 164 ते 200  |  ब) शिवदास चापसी मार्ग म्युनिसिपल घर 2 ते 42 | क) शेठ मोतीशाह लेन म्युनिसिपल घर 44 ते 52,92,
044-Nesbit_Road_Low_Level.pdf,1,अ) हंसराज लेन म्युनिसिपल घर 6 ते 16-ए संजय आपर्टमेंट,86,
045-Nesbit_Road_Low_Level.pdf,1,अ) हंसराज लेन म्युनिसिपल घर 16 ए अशोक अपार्टमेंट ते 16 अजय अपार्टमेंट | ब) हंसराज लेन म्युनिसिपल घर 1 ते 5 ई,86,
046-Nesbit_Road_Low_Level.pdf,1,अ) शेठ मोतीशाह लेन म्युनिसिपल घर 136 ते 138 | ब) शेठ मोतीशाह लेन (लव्ह लेन क्रॉस लेन) सेक्टर क्रमांक 5 शत्रुंजय दर्शन बिल्डींग ते म्युनिसिपल घर 4 शिवमंदीर,92,
047-Nesbit_Road_Low_Level.pdf,1,शेठ मोतीशाह लेन (लव लेन क्रॉस लेन) म्युनिसिपल घर 3 ते कौशि कॉटेज ते से म्युनिसिपल घर 16 युनियन बिल्डींग,92,
048-Sardar_Balwant_Singh_Dhodi_Marg_Mazgaon.pdf,1,अ) नेसबीट रोड (लो लेव्हल) | ब) सरदार बलवंत सिंग धोदी मार्ग म्युनिसिपल घर 2 ते 44 एफ | क) सरदार बलवंत सिंग धोदी मार्ग म्युनिसिपल घर 46 आगा हॉल चाळ क्रमांक 11 ते 331 आगा हॉल चाळ क्रमांक 13,92,
049-Sardar_Balwant_Singh_Dhodi_Marg_Mazgaon.pdf,1,अ) सरदार बलवंत सिंग धोदी मार्ग म्युनिसिपल घर 352 आगा हॉल अली मिनार ते बु-हाणी कॉलेज ऑफ कॉमर्स | ब) डॉ. मस्कारन्स रोड म्युनिसिपल घर 218 ते 239 ए. बी,91,
050-Ganesh_Hari_Parundekar_Marg_Momin_Pura.pdf,1,मेघराज सेठी मार्ग म्युनिसिपल घर 36 ते 52 बी.,88,
