Filename,Page No.,यादी भाग क्रमांक (Yadi Bhag No.),यादी भागाच्या हद्दीचा तपशील (Content)
041-105-C_136_Sheth_Motisha_Lane_(Loe_Lane).pdf",1,0010,यादी भागाच्या Sela तपशील अ) शेठ मोती शहा लेन | म्यु.घ.नं.105 स्वप्ना बिल्डींग ते म्यु घ.नं.105 बी ताराबाग चाळ ब) मूळ गांब/शहर . | शेठ मोती शाह लेन म्यु.घ.नं.6 ते 42 क ) शेठ मोती शाह लेन सजा | म्यु.घ.नं.68 ते 92-96 _ | तालुका | जिल्हा मुंबई शहर | यादी भागातील सहायकारी | मतदान केंद्राची संख्या : | निरंक | मतदारसंघाचे वर्गीकरण : | शहरी | 3. मतदान केंद्राचा तपशील :
042-Sheth_Motisha_Lane_(Love_Lane).pdf,1,0042,यादी भागाच्या हद्दीचा तपशील अ) शेठ मोतीशाह लेन म्यु.घ.नं.98 | ते 100 ए आणि 115 ब) शेठ मोतीशाह लेन (कोपर गांब इस्टेट) | क)डी.एन.सिंग रोड (हाथीबाग लेन बी) म्यु.घ.नं.29 बी ते 172 ड) wT | डी.एन.सिंग रोड (हाथीबाग लेन )म्यु घ.नं.13 ते 85 ए आणि 2 ते मंडळ | मूळ गांब/शहर . | तालुका | जिल्हा मुंबई शहर | यादी भागातील सहायकारी | मतदान केंद्राची संख्या : | निरंक | मतदारसंघाचे वर्गीकरण : | शहरी | 3. मतदान केंद्राचा तपशील :
043-Sheth_Motisha_Lane_(Love_Lane).pdf,1,0043,यादी भागाच्या हद्दीचा तपशील अ) शेठ मोतीशाह लेन म्यु | घ.नं.164 ते 200 -ब) शिवदास चापसी मार्ग म्यु.घ.नं.2 ते 42 क) | शेठ मोतीशाह लेन म्यु.घ.नं.44 ते 52  
044-Nesbit_Road_Low_Level.pdf,1,0044,यादी भागाच्या हद्दीचा तपशील अ)हंसराज लेन म्यु.घ.नं.6 ते 16-ए | संजय आपर्टमेंट | मतदारसंघाचे वर्गीकरण : यादी भागातील सहायकारी | मतदान केंद्राची संख्या : | शहरी निरंक | निरंक | 3. मतदान केंद्राचा तपशील :  
045-Nesbit_Road_Low_Level.pdf,1,0045,यादी भागाच्या हद्दीचा तपशील अ) हंसराज लेन म्यु.घ.नं.16 ए | अशोक अपार्टमेंट ते 16 अजय अपार्टमेंट ब) हंसराज लेन म्यु घ.नं.1 मूळ गांब/शहर | ते5ईं सजा | 
046-Nesbit_Road_Low_Level.pdf,1,0046,यादी भागाच्या हद्दीचा तपशील अ) शेठ मोतीशाह लेन | म्यु.घ.नं.136 ते 138 ब) शेठ मोतीशाह लेन (लव्ह लेन क्रॉस लेन) मूळ गांब/शहर . | सेक्टर नं.5 शत्रुंजय दर्शन बिल्डींग ते म्यु.घ.नं.4 शिवमंदीर IT | 
047-Nesbit_Road_Low_Level.pdf,1,0047,यादी भागाच्या हद्दीचा तपशील शेठ मोतीशाह लेन (लव लेन क्रॉस | लेन) म्यु घ.नं.3 ते कौशि कॉटेज ते से म्यु घ.नं.16 युनियन बिल्डींग  
048-Sardar_Balwant_Singh_Dhodi_Marg_Mazgaon.pdf,1,0048,यादी भागाच्या हद्दीचा तपशील अ)नेसबीट रोड (लो लेव्हल) ब) | सरदार बलवंत सिंग धोदी मार्ग म्यु.घ.नं.2 ते 44 एफ क) सरदार | बलवंत सिंग धोदी मार्ग म्यु.घ.नं.46 आगा हॉल चाळ नं.11 ते 331 | आगा हॉल चाळ नं.13  
049-Sardar_Balwant_Singh_Dhodi_Marg_Mazgaon.pdf,1,0049,यादी भागाच्या हद्दीचा तपशील अ) सरदार बलवंत सिंग धोदी मार्ग | म्यु.घ.नं.352 आगा हॉल अली मिनार ते बु-हाणी कॉलेज ऑफ कॉमर्स | ब) डॉ.मस्कारन्स रोड म्यु घ.नं.218 ते 239 ए.बी  
050-Ganesh_Hari_Parundekar_Marg_Momin_Pura.pdf,1,0050,यादी भागाच्या हद्दीचा तपशील मेघराज सेठी मार्ग म्यु.घ.नं.36 ते | 52 बी. | मूळ गांब/शहर . | 
051-Ganesh_Hari_Parundekar_Marg_Momin_Pura.pdf,1,0051,यादी भागाच्या हद्दीचा तपशील अ) मे.सेठी मार्ग म्यु घ.नं.2 ते | ईस्लाम बि.मा.बैठी चाळ ब) म.सि.अ.लेन (मि.स्ट्रीट) म्यु.घ.नं.14 ते | प.चाळ नं.8 च्या पा.मा.झो.क) TEAR म्यु.घ.नं.25 सुशांति चर्च | ते 85-89  
052-Ganesh_Hari_Parundekar_Marg_Momin_Pura.pdf,1,0052,यादी भागाच्या हद्दीचा तपशील अ) महंमद सिद्दीक अन्सारी लेन | (मिल्क स्ट्रीट ) ब) बाबुराव जगताप मार्ग म्यु.घ.नं.812 ते 826 | मूळ गांब/शहर . | 
053-Ganesh_Hari_Parundekar_Marg_Momin_Pura.pdf,1,0053,यादी भागाच्या हद्दीचा तपशील हफीज अलौ बहादुरखान मार्ग (eH | पाखाडीयॉ मार्ग) म्यु.घ.नं.16 ते 54 आणि जवळील झोपडपट्टी | मूळ गांब/शहर . | 
054-790_Bapurao_Jagtap_Marg.pdf,1,0054,"यादी भागाच्या हद्दीचा तपशील | अ) हफीज अली बहादुरखान मार्ग (टँक पाखाडीया मार्ग) | म्यु.घ.नं.74 ,1 ला माळा बिल्डींग ते म्यु.घ.नं.96 हमीद बिल्डींग ब) हाफीज अली बहादुर खान मार्ग | (cm पाखाडीया मार्ग) न्यु खटाव माखनजी बि.नं.5 आणि जवळील झोपडपट्टी क) बाबूराव | जगताप मार्ग म्यु.घ.नं.845 ते 867 ए  
055-790_Bapurao_Jagtap_Marg.pdf,1,0055,"यादी भागाच्या हद्दीचा तपशील मोहम्मद सिद्दीक अन्सारी लेन | (मिल्क स्ट्रीट ) म्यु घ.नं.9 ए,ईरफान बिल्डींग जवळील झोपडपट्टी | आणि ट्ररॉन्झिस्ट कॅम्प चाळ नं.1 ते 16  
056-Mohammad_Siddique_Ansari_Lane_(Milk_Street).pdf,1,0056,यादी भागाच्या हद्दीचा तपशील मोहम्मद सिद्दीक अन्सारी लेन | (मिल्क स्ट्रीट ) ट्रॉन्झिस्ट कॅम्प चाळ नं.17 ते 27 आणि मिल्क | स्ट्रीटच्या फूटपाथवरील झोपडपट्टी  
057-Mohammad_Siddique_Ansari_Lane_(Milk_Street).pdf,1,0057,यादी भागाच्या हद्दीचा तपशील अ) बापूराव जगताप मार्ग | म्यु.घ.नं.785 दत्ताराम बिल्डींग ते म्यु.घ.नं.797-807 खलीफा चाळ | ब) हलका -ई-अहबाब मार्ग (साखळी स्ट्रीट चौथी seta लेन) क) | बापूराव जगताप मार्ग म्यु.घ.नं.821 ते 823 हनुमान प्रसाद बि.ते. म्यु | घ.नं.845 शिवनेरी बि  
058-Mohammad_Siddique_Ansari_Lane_(Milk_Street).pdf,1,0058,यादी भागाच्या हद्दीचा तपशील मोहम्मद सिद्दीकी अन्सारी लेन | (मिल्क स्ट्रीट) बी.आय.टी.चाळ नं.3 आणि 4 | मूळ गांब/शहर . | 
059-Meghraj_Shethi_Marg_Bychala.pdf,1,0059,यादी भागाच्या हद्दीचा तपशील अ) गणेश हरी पारंडेकर मार्ग म्यु | घ.नं.91 ते 101 ब) मौलाना आझादे रोड म्यु.घ.नं.79 ते 111 
