Filename,Page No.,यादी भाग क्रमांक (Yadi Bhag No.),यादी भागाच्या हद्दीचा तपशील (Content)
043-Manav_Mandir_Trust_School_Gr.Flr_Hall_(East_Side)_A_Manav_Mandir_Road_Mumbai-400006.pdf,1,0043,"a, भागाच्या हद्दीचा तपशील अ) मानव मंदिर रोड, म्यु.घ.नं.5 | रन विहार ते म्यु.घ.नं.11 अनुपम बिल्डिंग. | मानव मंदिर रोड, म्यु.घ.नं.12 चंद्रलोक ब॒॒ आणि म्यु.घ.नं.43 | जमुना निकेतन बिल्डिंग . | "
044-Balakalyani_School_Rocky_Hill_Plot_Compound-(A)_Narayan_Dabholkar_RoadMumbai-400006.pdf,1,,ब) सुधारणांची संख्या | यादीचे स्वरुप मतदार यादीची ओळख एकूण सुधारणा | | खूण | "
045-Hindi_School_Gr.Flr_Open_No._1Dr.Bhagwandas_Indrajit_Road_Mumbai-400_006.pdf,1,,ब) सुधारणांची संख्या | "
046-Hindi_School_Gr.Flr_Open_No._2_Dr.Bhagwandas_Indrajit_Road_Mumbai-400_006.pdf,1,0046,"न... भागाच्या हद्दीचा तपशील अ) बाणगंगा रोड, म्यु.घ.नं.67 | ता चाळ ते बाणगंगा झोपडपटटी ( शिवाजी नगर | 1डपटटी). | बाणगंगा रोड पम्यु.घ.नं.73 प्रकाश भवन ते म्यु.घ.नं.99 नारायण | "
047-Hindi_School_Gr.Flr_Open_No._3_Dr.Bhagwandas_Indrajit_Road_Mumbai-400_006.pdf,1,0047,"ee भागाच्या हहीीचा तपशील बाणगंगा रोड, म्यु.घ.नं.18 रामकुंड | ब मूळ गांब/शहर . | र झोपडपटटी ते म्यु.घ.नं.91 एफ़ रामनाथ चौधरी घाट झोपडपट्टी. र | "
048-Hindi_School_Gr.Flr_Open_No._4_Dr.Bhagwandas_Indrajit_Road_Mumbai-400_006.pdf,1,0048,"a भागाच्या हद्दीचा तपशील | अ) बाणगंगा रोड, म्यु.घ.नं.15 हरिशचंद्र जरिवाला मॅन्शन ते | 14.71, कुष्ण मोहन बिल्डिंग. | बाणगंगा रोड, म्यु.घ.नं.14 ,आत्माराम निवास ते म्यु.घ.नं.67 फ्लोअर मिल. | जमनादास मेहता मागं, म्यु.घ.नं.3 सागरदिप ते म्यु.घ.न. 13 लॅन्डस एन्ड हाऊस. | "
049-Kavale_Math_Municipal_School_Open_No.1_Gr.Flr_Dungarsi_Road_Mumbai-400_006.pdf,1,0049,"क भागाच्या हद्दीचा तपशील भगवानदास इंद्रजित रोड, | घ.नं.91डी लक्ष्मी निवास ते | घ.नं.28 भगवानदास आखाडा. | "
050-Kavale_Math_Municipal_School_Open_No.2_Gr.Flr_Dungarsi_Road_Mumbai-400_006.pdf,1,0050,"नि भागाच्या हद्दीचा तपशील भगवानदास इंद्रजित रोड, सोनापूर | डपटटी (कालीमाता नगर) ते प्रेमनगर झोपडपट्टी. 4 | "
051-Kavale_Math_Municipal_School_Open_No.3_Gr.Flr_Dungarsi_Road_Mumbai-400_006.pdf,1,0051,"न भागाच्या हद्दीचा तपशील डूुगंरशी रोड, म्यु.घ.नं.23 | वानदास गोवर्धन चाळ ते म्यु.घ.नं.29 डी, लॅन्ड एन्ड | -ऑपरेटीव्ह हौसिंग सो. (कोझी कॉर्नर). | "
052-Kavale_Math_Municipal_School_Open_No._12_1_La_Mala_Dungarsi_Road_Mumbai-400_006.pdf,1,0052,"न. भागाच्या हद्दीचा तपशील डुंगरशी रोड, म्यु.घ.नं.23 बाबा | अपार्टमेंट मळ गांव/शहर . | र ते जोगानी . र | "
053-Kavale_Math_Municipal_School_Open_No._13_1_La_Mala_Dungarsi_Road_Mumbai-400_006.pdf,1,0053,"_— भागाच्या हद्दीचा तपशील अ) बाणगंगा क्रॉस लेन, | घ.नं.19 गंगालहरी ते म्यु.घ.नं.23, फॅन्सी नेस्ट . | बाणगंगा 2 री क्रॉस लेन AI पुजारी बिल्डींग ते | घ.नं.13 नवी चाळ. | "
054-Raj_Bhawan_Municipal_Primary_Marathi_School_(Juni)_Valkeshwar_RoadMumbai-400_006.pdf,1,0054,"डी _ अ) वाळकेश्वर मार्ग, म्यु.घ.नं.242 कमल कुंज ए म्यु.घ.नं.268 | मूळ गांव/शहर.. | मेघजी झोपडपट्टी, | बाणगंगा क्रास रोड (लेन), म्यु.घ.नं.270 ए वन aed! ते केशवजी जाधवजी सिनेटेरीयम. | वाळकेश्वर रोड, म्यु.घ.नं.194 ,लक्ष्मीबाई नरसी बिल्डींग ते म्यु.घ.नं.240 ड डाह्याभाई | त्तम चाळ. | दुंगरशी रोड , म्यु.घ.नं.17 , अस्मिता नं.1ते म्यु.घ.नं .6 राजहंस. | दारसंघाचे वगीकरण : ।॥ "
